model_name,batch_size,input_length,regime,config,fp16,compiled,throughput_tok_s,avg_latency_s,std_latency_s,ci95_half_ms,ms_per_token,gpu_util_pct,gpu_mem_used_mb,baseline_throughput_tok_s,speedup,speedup_ci95,is_adaptive_choice
gpt2,1,128,low-utilization,baseline,False,False,119.69,0.4177,0.0033,1.542,8.355,35,881,119.69,1.0,0.0,0
gpt2,1,128,low-utilization,compile,False,True,119.5,0.4184,0.00254,1.189,8.368,35,883,119.69,0.9984,0.0047,1
gpt2,1,128,low-utilization,fp16,True,False,120.28,0.4157,0.00191,0.896,8.314,34,577,119.69,1.0049,0.0043,0
gpt2,1,128,low-utilization,fp16+compile,True,True,117.97,0.4238,0.03039,14.223,8.476,34,577,119.69,0.9856,0.0333,0
gpt2,8,128,kernel-overhead-bound,baseline,False,False,853.67,0.4686,0.00363,1.698,9.371,44,1229,853.67,1.0,0.0,0
gpt2,8,128,kernel-overhead-bound,compile,False,True,854.55,0.4681,0.00234,1.097,9.362,44,1229,853.67,1.001,0.0043,1
gpt2,8,128,kernel-overhead-bound,fp16,True,False,809.28,0.4943,0.00215,1.004,9.885,43,753,853.67,0.948,0.0039,0
gpt2,8,128,kernel-overhead-bound,fp16+compile,True,True,807.12,0.4956,0.00214,1.003,9.912,43,753,853.67,0.9455,0.0039,0
gpt2,16,512,memory-bound,baseline,False,False,832.85,0.9606,0.02449,11.461,19.211,97,4149,832.85,1.0,0.0,0
gpt2,16,512,memory-bound,compile,False,True,827.22,0.9671,0.01795,8.401,19.342,97,4149,832.85,0.9932,0.0147,0
gpt2,16,512,memory-bound,fp16,True,False,894.24,0.8946,0.02809,13.147,17.892,96,2213,832.85,1.0737,0.0203,1
gpt2,16,512,memory-bound,fp16+compile,True,True,904.09,0.8849,0.0311,14.555,17.697,96,2213,832.85,1.0855,0.0221,0
gpt2-large,1,128,low-utilization,baseline,False,False,42.54,1.1753,0.00252,1.178,23.505,56,3671,42.54,1.0,0.0,0
gpt2-large,1,128,low-utilization,compile,False,True,42.61,1.1735,0.00207,0.97,23.47,56,3671,42.54,1.0016,0.0013,1
gpt2-large,1,128,low-utilization,fp16,True,False,43.0,1.1628,0.00603,2.823,23.257,51,2039,42.54,1.0108,0.0027,0
gpt2-large,1,128,low-utilization,fp16+compile,True,True,43.21,1.1571,0.0023,1.078,23.141,50,2039,42.54,1.0157,0.0014,0
gpt2-large,8,128,kernel-overhead-bound,baseline,False,False,272.37,1.4686,0.00748,3.503,29.372,80,4785,272.37,1.0,0.0,0
gpt2-large,8,128,kernel-overhead-bound,compile,False,True,273.95,1.4601,0.00464,2.172,29.202,80,4785,272.37,1.0058,0.0028,1
gpt2-large,8,128,kernel-overhead-bound,fp16,True,False,264.24,1.5138,0.00345,1.616,30.276,91,2595,272.37,0.9702,0.0025,0
gpt2-large,8,128,kernel-overhead-bound,fp16+compile,True,True,260.86,1.5334,0.00394,1.844,30.668,91,2595,272.37,0.9577,0.0026,0
gpt2-large,16,512,memory-bound,baseline,False,False,160.05,4.9984,0.03453,16.159,99.969,99,11753,160.05,1.0,0.0,0
gpt2-large,16,512,memory-bound,compile,False,True,160.71,4.9778,0.05312,24.862,99.555,99,11753,160.05,1.0041,0.006,0
gpt2-large,16,512,memory-bound,fp16,True,False,174.11,4.5949,0.0348,16.286,91.898,99,6119,160.05,1.0878,0.0052,1
gpt2-large,16,512,memory-bound,fp16+compile,True,True,173.63,4.6076,0.03339,15.625,92.151,99,6119,160.05,1.0848,0.0051,0
gpt-neo-125m,1,128,low-utilization,baseline,False,False,115.23,0.4339,0.00199,0.932,8.678,29,911,115.23,1.0,0.0,0
gpt-neo-125m,1,128,low-utilization,compile,False,True,115.23,0.4339,0.00261,1.221,8.678,29,911,115.23,1.0,0.0035,1
gpt-neo-125m,1,128,low-utilization,fp16,True,False,109.43,0.4569,0.00248,1.16,9.138,29,627,115.23,0.9497,0.0032,0
gpt-neo-125m,1,128,low-utilization,fp16+compile,True,True,108.91,0.4591,0.00488,2.286,9.182,29,627,115.23,0.9452,0.0051,0
gpt-neo-125m,8,128,kernel-overhead-bound,baseline,False,False,849.11,0.4711,0.00245,1.146,9.422,45,1199,849.11,1.0,0.0,0
gpt-neo-125m,8,128,kernel-overhead-bound,compile,False,True,844.62,0.4736,0.00232,1.086,9.472,49,1199,849.11,0.9947,0.0033,1
gpt-neo-125m,8,128,kernel-overhead-bound,fp16,True,False,749.67,0.5336,0.00335,1.566,10.671,47,781,849.11,0.8829,0.0034,0
gpt-neo-125m,8,128,kernel-overhead-bound,fp16+compile,True,True,747.1,0.5354,0.0049,2.292,10.708,47,781,849.11,0.8799,0.0043,0
gpt-neo-125m,16,512,memory-bound,baseline,False,False,712.67,1.1225,0.01037,4.853,22.451,77,3649,712.67,1.0,0.0,0
gpt-neo-125m,16,512,memory-bound,compile,False,True,708.9,1.1285,0.00994,4.651,22.57,76,3649,712.67,0.9947,0.0059,0
gpt-neo-125m,16,512,memory-bound,fp16,True,False,752.37,1.0633,0.02186,10.233,21.266,70,2341,712.67,1.0557,0.0111,1
gpt-neo-125m,16,512,memory-bound,fp16+compile,True,True,749.88,1.0668,0.02095,9.804,21.337,74,2341,712.67,1.0522,0.0107,0
