model_name,batch_size,input_length,regime,policy,config_used,throughput_tok_s,avg_latency_s,std_latency_s,ci95_half_ms,ms_per_token,gpu_util_pct,gpu_mem_used_mb,baseline_throughput_tok_s,speedup,speedup_ci95
gpt2,1,32,low-utilization,always-baseline,baseline,120.54,0.4148,0.00215,1.006,8.296,34,837,121.09,0.9955,0.0033
gpt2,1,128,kernel-overhead-bound,always-baseline,baseline,119.93,0.4169,0.00298,1.394,8.338,35,885,120.3,0.9969,0.0044
gpt2,1,512,kernel-overhead-bound,always-baseline,baseline,116.3,0.4299,0.00231,1.083,8.599,36,1057,116.89,0.995,0.003
gpt2,4,32,low-utilization,always-baseline,baseline,464.87,0.4302,0.00152,0.713,8.605,34,1075,466.71,0.9961,0.0026
gpt2,4,128,kernel-overhead-bound,always-baseline,baseline,452.43,0.4421,0.00335,1.57,8.841,37,1075,454.56,0.9953,0.0038
gpt2,4,512,kernel-overhead-bound,always-baseline,baseline,384.71,0.5199,0.00615,2.879,10.398,54,1757,386.29,0.9959,0.0071
gpt2,8,32,kernel-overhead-bound,always-baseline,baseline,906.44,0.4413,0.00345,1.615,8.826,37,1757,908.32,0.9979,0.0048
gpt2,8,128,kernel-overhead-bound,always-baseline,baseline,846.17,0.4727,0.00376,1.757,9.454,44,1757,848.27,0.9975,0.0055
gpt2,8,512,kernel-overhead-bound,always-baseline,baseline,643.49,0.6216,0.00589,2.756,12.432,75,2543,640.51,1.0047,0.0064
gpt2,16,32,kernel-overhead-bound,always-baseline,baseline,1755.78,0.4556,0.00261,1.223,9.113,57,2543,1752.39,1.0019,0.0048
gpt2,16,128,kernel-overhead-bound,always-baseline,baseline,1552.62,0.5153,0.00446,2.085,10.305,64,2543,1560.92,0.9947,0.005
gpt2,16,512,memory-bound,always-baseline,baseline,832.24,0.9613,0.02441,11.426,19.225,97,4307,827.8,1.0054,0.0154
gpt2,32,32,kernel-overhead-bound,always-baseline,baseline,3272.08,0.489,0.00331,1.547,9.78,58,4307,3275.86,0.9988,0.0043
gpt2,32,128,kernel-overhead-bound,always-baseline,baseline,2602.15,0.6149,0.00578,2.705,12.298,83,4307,2604.6,0.9991,0.0055
gpt2,32,512,memory-bound,always-baseline,baseline,938.22,1.7054,0.03359,15.719,34.107,98,7449,928.64,1.0103,0.0111
gpt2,1,32,low-utilization,always-compile,compile,120.15,0.4161,0.00308,1.441,8.323,33,837,121.09,0.9922,0.0041
gpt2,1,128,kernel-overhead-bound,always-compile,compile,119.95,0.4168,0.00331,1.549,8.337,36,885,120.3,0.9971,0.0047
gpt2,1,512,kernel-overhead-bound,always-compile,compile,115.99,0.4311,0.00335,1.568,8.621,36,1057,116.89,0.9923,0.004
gpt2,4,32,low-utilization,always-compile,compile,462.78,0.4322,0.00358,1.676,8.643,33,1075,466.71,0.9916,0.0044
gpt2,4,128,kernel-overhead-bound,always-compile,compile,450.4,0.444,0.00416,1.949,8.881,36,1075,454.56,0.9908,0.0046
gpt2,4,512,kernel-overhead-bound,always-compile,compile,382.47,0.5229,0.00552,2.583,10.458,52,1757,386.29,0.9901,0.0066
gpt2,8,32,kernel-overhead-bound,always-compile,compile,905.65,0.4417,0.0038,1.78,8.833,37,1757,908.32,0.9971,0.0051
gpt2,8,128,kernel-overhead-bound,always-compile,compile,841.51,0.4753,0.00446,2.086,9.507,47,1757,848.27,0.992,0.006
gpt2,8,512,kernel-overhead-bound,always-compile,compile,633.35,0.6316,0.0065,3.04,12.631,76,2543,640.51,0.9888,0.0066
gpt2,16,32,kernel-overhead-bound,always-compile,compile,1751.92,0.4566,0.00347,1.625,9.133,51,2543,1752.39,0.9997,0.0053
gpt2,16,128,kernel-overhead-bound,always-compile,compile,1553.57,0.5149,0.00389,1.823,10.299,65,2543,1560.92,0.9953,0.0046
