model_name,prompt_category,batch_size,input_length,config,fp16,compiled,throughput_tok_s,avg_latency_s,std_latency_s,ci95_half_ms,ms_per_token,gpu_util_pct,gpu_mem_used_mb,baseline_throughput_tok_s,speedup,speedup_ci95
gpt2,code,8,128,baseline,False,False,838.23,0.4772,0.00416,1.945,9.544,45,1353,838.23,1.0,0.0
gpt2,code,8,128,compile,False,True,849.52,0.4709,0.00284,1.327,9.417,46,1231,838.23,1.0135,0.005
gpt2,code,8,128,fp16,True,False,802.28,0.4986,0.00219,1.027,9.972,43,753,838.23,0.9571,0.0044
gpt2,qa,8,128,baseline,False,False,848.89,0.4712,0.00156,0.73,9.424,43,1231,848.89,1.0,0.0
gpt2,qa,8,128,compile,False,True,851.87,0.4696,0.00186,0.869,9.391,46,1231,848.89,1.0035,0.0024
gpt2,qa,8,128,fp16,True,False,806.77,0.4958,0.00175,0.818,9.916,44,753,848.89,0.9504,0.0022
gpt2,story,8,128,baseline,False,False,847.12,0.4722,0.00367,1.716,9.444,44,1231,847.12,1.0,0.0
gpt2,story,8,128,compile,False,True,852.53,0.4692,0.00273,1.277,9.384,46,1231,847.12,1.0064,0.0046
gpt2,story,8,128,fp16,True,False,808.88,0.4945,0.00202,0.944,9.89,48,753,847.12,0.9549,0.0039
gpt2,chat,8,128,baseline,False,False,854.28,0.4682,0.00183,0.858,9.365,45,1231,854.28,1.0,0.0
gpt2,chat,8,128,compile,False,True,688.04,0.5814,0.00353,1.654,11.627,36,1231,854.28,0.8054,0.0027
gpt2,chat,8,128,fp16,True,False,659.21,0.6068,0.00218,1.02,12.136,37,753,854.28,0.7717,0.0019
gpt2,math,8,128,baseline,False,False,853.17,0.4688,0.00212,0.994,9.377,49,1231,853.17,1.0,0.0
gpt2,math,8,128,compile,False,True,688.22,0.5812,0.00196,0.915,11.624,36,1231,853.17,0.8067,0.0021
gpt2,math,8,128,fp16,True,False,802.78,0.4983,0.00343,1.604,9.965,45,753,853.17,0.9409,0.0036
