model_name,batch_size,input_length,max_new_tokens,regime,selected_config,avg_latency_s,p50_latency_s,p95_latency_s,std_latency_s,ci95_half_ms,ms_per_token,throughput_tok_s,baseline_latency_s,baseline_throughput_tok_s,speedup,speedup_ci95,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,weight_bytes_mb,estimated_bandwidth_GBs,arithmetic_intensity
gpt2,1,32,50,low-utilization,compile,0.4308,0.4322,0.4341,0.00478,2.239,8.616,116.07,0.5598,89.31,1.2996,0.0138,32,855,12288,474.7,57.77,0.5
gpt2,1,128,50,low-utilization,compile,0.4299,0.4315,0.4358,0.00565,2.646,8.598,116.3,0.5521,90.56,1.2842,0.0129,33,903,12288,474.7,57.89,0.5
gpt2,1,512,50,low-utilization,compile,0.4398,0.4407,0.4452,0.00475,2.225,8.797,113.68,0.56,89.28,1.2733,0.0101,38,1051,12288,474.7,56.58,0.5
gpt2,2,32,50,low-utilization,compile,0.4428,0.4421,0.4476,0.0042,1.966,8.855,225.85,0.5692,175.7,1.2854,0.0084,34,1051,12288,474.7,56.21,1.0
gpt2,2,128,50,low-utilization,compile,0.447,0.4464,0.4521,0.00458,2.145,8.94,223.72,0.5753,173.82,1.2871,0.0099,34,1067,12288,474.7,55.68,1.0
gpt2,2,512,50,low-utilization,compile,0.494,0.4896,0.5255,0.01419,6.643,9.88,202.43,0.6067,164.82,1.2282,0.0181,36,1265,12288,474.7,50.38,1.0
gpt2,4,32,50,low-utilization,compile,0.4613,0.45,0.5072,0.04935,23.098,9.227,433.52,0.5665,353.04,1.228,0.0619,34,1267,12288,474.7,53.95,2.0
gpt2,4,128,50,low-utilization,compile,0.46,0.4609,0.4651,0.0046,2.154,9.2,434.8,0.5828,343.18,1.267,0.0098,34,1267,12288,474.7,54.11,2.0
gpt2,4,512,50,kernel-overhead-bound,compile,0.5326,0.5327,0.5394,0.00508,2.38,10.652,375.51,0.6518,306.85,1.2238,0.0071,49,1661,12288,474.7,46.73,2.0
gpt2,8,32,50,kernel-overhead-bound,compile,0.4517,0.4527,0.459,0.00569,2.661,9.033,885.64,0.5381,743.42,1.1913,0.0598,36,1661,12288,474.7,55.1,4.0
gpt2,8,128,50,kernel-overhead-bound,compile,0.4876,0.4878,0.4898,0.00177,0.83,9.751,820.41,0.4821,829.66,0.9889,0.0046,41,1661,12288,474.7,51.05,4.0
gpt2,8,512,50,kernel-overhead-bound,compile,0.6419,0.6429,0.6516,0.00686,3.21,12.837,623.18,0.6394,625.56,0.9962,0.0061,69,2447,12288,474.7,38.77,4.0
gpt2,16,32,50,kernel-overhead-bound,compile,0.4644,0.4651,0.4698,0.00478,2.236,9.289,1722.52,0.4628,1728.69,0.9964,0.0069,45,2447,12288,474.7,53.59,8.0
gpt2,16,128,50,kernel-overhead-bound,compile,0.5303,0.5304,0.5362,0.00504,2.357,10.607,1508.46,0.5235,1528.07,0.9872,0.0057,60,2447,12288,474.7,46.93,8.0
gpt2,32,32,50,kernel-overhead-bound,compile,0.5029,0.5011,0.5092,0.00526,2.461,10.057,3181.83,0.5031,3180.34,1.0005,0.0153,52,2447,12288,474.7,49.49,16.0
gpt2,32,128,50,kernel-overhead-bound,compile,0.6255,0.6245,0.6377,0.00617,2.886,12.51,2557.87,0.619,2584.97,0.9895,0.0057,75,2447,12288,474.7,39.79,16.0
gpt2,16,512,50,memory-bound,fp16,0.8816,0.8801,0.9103,0.03461,16.196,17.632,907.43,0.9263,863.69,1.0506,0.0216,92,2213,12288,237.4,14.12,16.0
gpt2,32,512,50,memory-bound,fp16,1.5332,1.527,1.5885,0.03479,16.283,30.665,1043.55,1.6554,966.55,1.0797,0.0145,97,3785,12288,237.4,8.12,32.0
gpt2-large,1,32,50,kernel-overhead-bound,compile,1.2018,1.2001,1.2188,0.01058,4.954,24.036,41.6,1.2484,40.05,1.0387,0.0055,52,3499,12288,2952.7,128.81,0.5
gpt2-large,1,128,50,kernel-overhead-bound,compile,1.2395,1.2395,1.2448,0.00385,1.802,24.791,40.34,1.2496,40.01,1.0082,0.005,53,3671,12288,2952.7,124.89,0.5
gpt2-large,1,512,50,kernel-overhead-bound,compile,1.3309,1.3231,1.3569,0.02336,10.935,26.618,37.57,1.3463,37.14,1.0116,0.0095,64,4071,12288,2952.7,116.32,0.5
gpt2-large,2,32,50,kernel-overhead-bound,compile,1.2589,1.2665,1.2793,0.01912,8.951,25.178,79.43,1.2863,77.74,1.0217,0.0078,45,4071,12288,2952.7,122.97,1.0
gpt2-large,2,128,50,kernel-overhead-bound,compile,1.2917,1.2909,1.3042,0.00739,3.461,25.835,77.42,1.3102,76.32,1.0144,0.0043,49,4071,12288,2952.7,119.84,1.0
gpt2-large,2,512,50,kernel-overhead-bound,compile,1.546,1.5477,1.5612,0.01215,5.687,30.92,64.68,1.5617,64.03,1.0102,0.0091,62,4629,12288,2952.7,100.13,1.0
gpt2-large,4,32,50,kernel-overhead-bound,compile,1.2556,1.2505,1.273,0.01036,4.848,25.112,159.28,1.273,157.11,1.0138,0.0059,50,4633,12288,2952.7,123.29,2.0
gpt2-large,4,128,50,kernel-overhead-bound,compile,1.3584,1.3595,1.3741,0.01158,5.419,27.169,147.23,1.3673,146.28,1.0065,0.0052,54,4633,12288,2952.7,113.96,2.0
