model_name,batch_size,input_length,max_new_tokens,avg_latency_s,p50_latency_s,p95_latency_s,std_latency_s,ci95_half_ms,ms_per_token,throughput_tok_s,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,estimated_bandwidth_GBs,arithmetic_intensity
gpt2,1,32,50,0.5225,0.5217,0.5303,0.00337,1.577,10.451,95.69,27,8697,12288,47.63,0.5
gpt2,1,64,50,0.522,0.5211,0.5259,0.00195,0.915,10.44,95.78,27,8697,12288,47.68,0.5
gpt2,1,128,50,0.523,0.5223,0.5265,0.00235,1.099,10.46,95.6,28,8697,12288,47.59,0.5
gpt2,1,256,50,0.5263,0.5255,0.5302,0.00268,1.253,10.527,95.0,31,8697,12288,47.29,0.5
gpt2,1,512,50,0.5357,0.5353,0.5392,0.00263,1.233,10.714,93.34,30,8697,12288,46.46,0.5
gpt2,2,32,50,0.5383,0.5383,0.5407,0.00201,0.939,10.766,185.77,28,8697,12288,46.24,1.0
gpt2,2,64,50,0.5379,0.5381,0.54,0.00142,0.667,10.758,185.9,29,8697,12288,46.27,1.0
gpt2,2,128,50,0.5409,0.5412,0.5434,0.00198,0.927,10.818,184.88,30,8699,12288,46.01,1.0
gpt2,2,256,50,0.5516,0.551,0.5567,0.0034,1.589,11.032,181.29,30,8699,12288,45.12,1.0
gpt2,2,512,50,0.7156,0.7158,0.7203,0.00371,1.737,14.311,139.75,27,8699,12288,34.78,1.0
gpt2,4,32,50,0.6908,0.6814,0.7209,0.01687,7.897,13.817,289.51,23,8701,12288,36.03,2.0
gpt2,4,64,50,0.644,0.6756,0.6818,0.05033,23.555,12.88,310.55,30,8701,12288,38.64,2.0
gpt2,4,128,50,0.5545,0.5537,0.5596,0.00362,1.692,11.09,360.69,31,8701,12288,44.88,2.0
gpt2,4,256,50,0.5749,0.5747,0.5786,0.00217,1.014,11.498,347.89,33,8701,12288,43.29,2.0
gpt2,4,512,50,0.6308,0.6296,0.6369,0.00531,2.486,12.617,317.03,42,8701,12288,39.45,2.0
gpt2,8,32,50,0.5477,0.5476,0.5506,0.00161,0.752,10.953,730.37,33,8701,12288,45.44,4.0
gpt2,8,64,50,0.5555,0.555,0.5585,0.00186,0.869,11.11,720.06,34,8701,12288,44.8,4.0
gpt2,8,128,50,0.5781,0.578,0.5835,0.00347,1.623,11.562,691.93,39,8701,12288,43.05,4.0
gpt2,8,256,50,0.6172,0.6167,0.6202,0.00222,1.037,12.344,648.07,44,8701,12288,40.32,4.0
