model_name,model_family,param_count_m,weight_mb,batch_size,input_length,baseline_throughput_tok_s,baseline_gpu_util_pct,regime,adaptive_config,adaptive_throughput_tok_s,speedup,speedup_ci95,avg_latency_s,std_latency_s,ci95_half_ms
gpt2,GPT-2,124.4,474.7,1,128,118.22,34,low-utilization,compile,116.42,0.9848,0.0048,0.4295,0.00273,1.28
gpt2,GPT-2,124.4,474.7,8,128,842.3,43,kernel-overhead-bound,compile,819.76,0.9732,0.0274,0.4879,0.02919,13.661
gpt2,GPT-2,124.4,474.7,16,512,824.29,96,memory-bound,fp16,917.48,1.1131,0.0139,0.872,0.02042,9.558
gpt2-large,GPT-2,774.0,2952.7,1,128,35.54,43,kernel-overhead-bound,compile,41.82,1.1767,0.0528,1.1957,0.00302,1.415
gpt2-large,GPT-2,774.0,2952.7,8,128,267.4,74,kernel-overhead-bound,compile,267.45,1.0002,0.0023,1.4956,0.00413,1.933
gpt2-large,GPT-2,774.0,2952.7,16,512,159.93,99,memory-bound,fp16,173.81,1.0868,0.006,4.6028,0.04007,18.752
gpt-neo-125m,GPT-Neo,125.2,477.6,1,128,111.88,29,low-utilization,compile,112.74,1.0077,0.0048,0.4435,0.00264,1.236
gpt-neo-125m,GPT-Neo,125.2,477.6,8,128,832.0,44,kernel-overhead-bound,compile,682.47,0.8203,0.0028,0.5861,0.0034,1.593
gpt-neo-125m,GPT-Neo,125.2,477.6,16,512,709.1,79,kernel-overhead-bound,compile,710.62,1.0021,0.0066,1.1258,0.00919,4.3
opt-125m,OPT,125.2,477.8,1,128,111.1,27,low-utilization,compile,138.66,1.2481,0.0059,0.3606,0.00272,1.271
opt-125m,OPT,125.2,477.8,8,128,1002.37,47,kernel-overhead-bound,compile,826.77,0.8248,0.0029,0.4838,0.00294,1.375
opt-125m,OPT,125.2,477.8,16,512,777.63,84,kernel-overhead-bound,compile,780.65,1.0039,0.0082,1.0248,0.01421,6.651
opt-350m,OPT,331.2,1263.4,1,128,190.01,31,low-utilization,compile,238.63,1.2559,0.0096,0.2095,0.00191,0.895
opt-350m,OPT,331.2,1263.4,8,128,1345.75,80,kernel-overhead-bound,compile,1344.2,0.9988,0.0102,0.2976,0.00513,2.4
opt-350m,OPT,331.2,1263.4,16,512,318.18,95,memory-bound,fp16,392.0,1.232,0.0073,2.0408,0.00911,4.264
bloom-560m,BLOOM,559.2,2133.2,1,128,53.82,41,kernel-overhead-bound,compile,53.78,0.9993,0.0013,0.9298,0.00191,0.896
bloom-560m,BLOOM,559.2,2133.2,8,128,354.26,58,kernel-overhead-bound,compile,350.67,0.9899,0.0058,1.1407,0.01035,4.844
