model_name,config,fp16,compiled,batch_size,input_length,max_new_tokens,avg_latency_s,p50_latency_s,p95_latency_s,std_latency_s,ci95_half_ms,ms_per_token,throughput_tok_s,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,weight_bytes_mb,estimated_bandwidth_GBs,arithmetic_intensity
gpt2,baseline,False,False,1,32,50,0.4948,0.4537,0.5605,0.05692,26.641,9.896,101.05,32,835,12288,474.7,50.3,0.5
gpt2,baseline,False,False,1,128,50,0.4509,0.4512,0.459,0.0072,3.371,9.018,110.89,34,881,12288,474.7,55.2,0.5
gpt2,baseline,False,False,1,512,50,0.4538,0.4532,0.4622,0.00606,2.836,9.076,110.18,35,1053,12288,474.7,54.84,0.5
gpt2,baseline,False,False,2,32,50,0.4552,0.4539,0.4631,0.00614,2.873,9.104,219.67,29,1053,12288,474.7,54.67,1.0
gpt2,baseline,False,False,2,128,50,0.4623,0.4611,0.4698,0.00584,2.731,9.246,216.31,31,1071,12288,474.7,53.84,1.0
gpt2,baseline,False,False,2,512,50,0.5006,0.5009,0.5051,0.00381,1.785,10.013,199.74,39,1269,12288,474.7,49.71,1.0
gpt2,baseline,False,False,4,32,50,0.4645,0.4657,0.4733,0.00597,2.794,9.291,430.53,32,1271,12288,474.7,53.57,2.0
gpt2,baseline,False,False,4,128,50,0.4754,0.4728,0.4891,0.01212,5.674,9.508,420.7,33,1271,12288,474.7,52.35,2.0
gpt2,baseline,False,False,4,512,50,0.5433,0.5424,0.5496,0.00478,2.239,10.865,368.15,46,1713,12288,474.7,45.81,2.0
gpt2,baseline,False,False,8,32,50,0.4733,0.4745,0.4795,0.00655,3.064,9.467,845.08,34,1713,12288,474.7,52.58,4.0
gpt2,baseline,False,False,8,128,50,0.5044,0.5014,0.5083,0.01399,6.546,10.088,793.01,40,1713,12288,474.7,49.34,4.0
gpt2,baseline,False,False,8,512,50,0.6535,0.651,0.6618,0.00482,2.255,13.069,612.13,64,2499,12288,474.7,38.09,4.0
gpt2,baseline,False,False,16,32,50,0.4798,0.4793,0.4894,0.0052,2.433,9.597,1667.21,46,2499,12288,474.7,51.87,8.0
gpt2,baseline,False,False,16,128,50,0.5416,0.5415,0.5492,0.00481,2.25,10.831,1477.22,65,2499,12288,474.7,45.96,8.0
gpt2,baseline,False,False,16,512,50,0.9594,0.967,0.9807,0.0263,12.309,19.188,833.84,97,4071,12288,474.7,25.94,8.0
